Name,Potential,Value,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Composure,Marking
Eder,79,11500,177.8,159,72,78,60,76,76,83,80,78,58,83,85,84,81,78,80,80,50,78,60,76,60,24,83,78,31
J. Hernández,79,12000,175.26,161,64,84,79,65,74,73,67,52,56,77,77,69,75,82,79,75,83,66,53,66,59,26,86,79,21
Fabricio,79,8000,182.88,176,15,14,14,44,13,25,19,15,40,35,59,54,57,74,48,25,76,42,56,14,33,26,14,56,22
Kiko Casilla,79,7500,190.5,190,24,14,13,30,12,12,25,25,24,20,32,49,43,74,58,24,69,43,79,13,45,20,12,60,26
Ángel,79,11500,172.72,150,56,79,74,73,78,80,49,50,49,81,74,74,79,80,76,81,76,66,64,80,62,26,79,70,42
M. Schneiderlin,79,10000,185.42,165,65,58,69,78,56,68,68,63,75,80,58,58,69,76,69,71,68,79,75,56,81,81,63,79,77
M. Fellaini,79,11500,193.04,187,61,73,93,81,68,67,64,46,66,82,41,48,47,81,49,75,64,75,91,65,94,74,84,78,77
D. Ospina,79,8500,182.88,176,11,10,15,36,12,12,10,13,32,32,34,34,44,72,50,35,75,29,38,12,20,25,16,60,11
S. Mignolet,79,8000,193.04,192,11,11,16,37,16,14,16,12,34,26,50,52,34,74,52,45,69,31,72,16,34,21,14,61,7
A. Begović,79,7500,198.12,183,14,19,12,26,12,16,17,15,32,24,52,58,52,74,40,28,38,36,80,12,42,21,11,61,18
N. Şahin,79,10000,180.34,161,79,61,64,84,80,76,82,80,84,81,40,34,74,82,73,83,71,60,71,77,66,80,67,84,74
R. Bertrand,79,10000,177.8,187,82,50,68,76,43,77,74,66,70,78,78,76,73,76,69,59,70,78,70,54,73,77,63,76,76
A. Masiello,79,7000,182.88,181,60,23,76,66,52,54,47,35,68,62,58,55,60,79,56,63,79,63,75,41,76,84,30,74,78
T. Walcott,79,12500,175.26,150,72,74,58,72,71,81,76,74,61,78,89,89,79,77,77,76,65,69,56,65,65,35,77,76,37
Charles,79,6500,177.8,165,51,80,79,69,84,79,78,53,52,82,64,59,86,80,69,83,93,63,71,78,66,18,83,78,35
T. Heaton,79,7000,187.96,203,17,12,16,32,12,17,15,13,37,28,56,55,54,73,52,14,73,40,66,12,31,24,12,62,16
H. Ben Arfa,79,11000,177.8,163,70,70,46,78,72,88,76,73,74,80,77,69,82,70,79,78,74,51,65,75,61,36,72,77,31
D. Abraham,79,8500,187.96,185,44,46,78,73,65,44,45,67,75,59,76,79,61,76,55,74,77,68,80,63,79,75,31,78,78
E. Lavezzi,79,8000,172.72,165,77,80,57,80,77,82,83,79,65,83,85,83,87,81,85,79,82,68,71,78,73,31,82,78,40
S. Kalou,79,10000,182.88,170,67,82,77,79,78,87,78,62,68,86,67,65,76,82,76,76,76,64,67,67,35,32,83,81,50
R. Babel,79,11000,185.42,187,72,77,71,71,67,82,77,50,66,79,83,82,77,71,74,85,82,84,78,82,58,34,77,75,39
A. Young,79,7000,175.26,143,84,64,57,79,71,77,86,75,70,79,77,72,77,80,76,75,55,75,67,69,78,77,67,74,75
J. Hart,79,7500,195.58,201,14,14,10,34,19,23,17,13,35,20,56,60,50,72,32,40,69,28,61,19,36,25,14,58,16
L. López,79,6000,175.26,159,66,80,76,75,74,78,78,73,70,80,77,83,84,74,80,77,84,77,75,75,61,59,82,84,30
D. Baier,79,3800,175.26,172,73,52,52,82,58,74,62,70,82,80,53,43,71,81,75,68,78,72,67,44,67,87,58,84,72
B. Yılmaz,79,10000,187.96,170,68,82,72,66,77,69,60,70,60,69,81,79,72,81,48,85,66,69,79,74,85,33,85,71,29
R. Adler,79,6500,190.5,187,13,14,10,39,18,13,12,13,36,20,42,32,49,80,43,23,69,22,66,14,25,17,7,49,9
S. Lichtsteiner,79,3600,182.88,168,78,45,70,77,62,76,68,66,70,76,65,69,73,79,77,74,73,76,70,68,82,82,66,80,78
E. Adebayor,79,6500,193.04,181,58,80,92,72,76,72,64,44,55,74,67,70,65,76,52,78,76,57,82,66,70,31,78,84,25
E. Belözoğlu,79,4000,170.18,159,80,68,43,86,69,78,83,80,87,82,54,38,68,73,81,77,72,61,65,76,87,66,63,80,65
Loren,83,14000,187.96,181,36,86,76,74,73,79,60,53,35,81,63,66,60,78,57,78,68,60,61,80,38,11,75,70,55
F. Chiesa,87,16000,175.26,154,70,70,50,75,68,83,74,48,60,80,86,84,86,76,77,81,55,78,64,78,62,30,76,76,65
A. Hakimi,86,12500,180.34,161,76,59,64,77,48,78,65,55,68,78,89,91,75,77,75,75,69,84,73,62,67,71,71,72,74
S. Ascacíbar,84,12000,167.64,154,51,39,55,80,47,64,47,41,71,65,75,65,78,74,87,53,82,92,61,67,90,85,31,67,81
T. Alexander-Arnold,88,14000,180.34,152,83,56,59,76,41,72,74,74,75,72,82,79,74,75,74,70,66,79,62,63,73,76,62,74,75
Sidney Pessinho,78,9000,187.96,187,71,56,62,75,45,72,81,77,77,71,72,72,51,81,55,73,61,76,88,72,77,76,52,67,80
Everticinho,78,7500,175.26,165,76,69,60,76,71,76,76,68,59,75,84,76,79,80,70,72,61,88,68,74,73,72,76,80,78
Claudio Coíntra,78,5000,175.26,157,74,73,45,75,77,75,86,74,75,76,87,74,86,82,83,74,58,75,57,68,42,32,78,84,17
Ronaldo Esler,78,7500,167.64,143,78,45,60,76,55,76,54,49,59,74,88,86,86,80,90,78,59,76,33,68,73,75,69,76,75
P. Lees-Melou,80,12500,185.42,152,78,70,59,79,53,79,74,69,79,79,74,74,75,75,59,70,61,86,71,70,71,66,77,76,70
B. Chilwell,85,12500,177.8,170,76,43,64,73,42,76,67,64,68,77,81,82,70,75,71,69,77,84,68,38,68,74,74,68,74
D. Calabria,88,14500,175.26,154,79,30,64,75,58,73,76,48,68,74,81,77,83,74,78,62,69,81,64,48,78,77,42,74,78
F. Mendy,86,13000,177.8,161,74,62,69,76,43,81,71,35,75,78,88,86,78,78,78,69,78,82,76,64,77,75,75,78,69
L. Pellegrini,84,14000,185.42,170,72,60,71,82,69,76,69,40,79,79,77,74,68,73,69,76,67,76,69,72,71,70,74,79,70
Soares,79,12000,187.96,181,52,76,77,68,73,75,69,40,54,77,79,86,71,78,65,77,78,76,78,68,90,40,84,79,50
G. Martínez,82,13500,172.72,165,74,70,32,70,72,86,76,73,68,81,90,88,92,79,88,80,53,72,61,82,42,23,71,77,41
M. Eggestein,84,14000,180.34,165,65,61,65,79,46,77,58,48,77,79,66,69,74,76,67,77,53,96,74,80,68,68,69,75,72
N. Amiri,85,14500,180.34,161,73,65,43,79,65,85,76,71,73,81,77,68,79,75,76,70,66,77,66,70,48,62,69,69,53
Vallejo,86,13500,182.88,174,41,44,74,76,36,56,29,31,75,67,67,74,69,77,69,49,77,66,69,31,74,82,32,76,79
J. Gomez,88,14500,187.96,170,69,26,68,72,24,67,41,29,57,68,80,83,64,77,66,41,66,74,80,26,70,81,51,69,78
Diogo Jota,86,15500,177.8,161,65,74,56,72,71,81,76,58,65,83,87,76,87,80,87,78,66,82,72,71,80,54,81,83,49
Joan Jordán,83,13500,182.88,163,65,75,47,79,59,78,71,67,78,79,65,68,65,72,65,74,50,75,66,76,61,69,71,62,67
Dyego Sousa,78,10500,190.5,183,48,81,83,64,75,74,46,34,45,76,58,54,53,75,39,84,74,82,83,75,80,25,80,68,23
A. Marušić,79,12500,185.42,187,78,66,72,75,68,78,72,48,68,77,86,89,66,76,67,81,80,79,79,77,71,73,73,72,72
David Soria,80,9000,193.04,187,15,19,24,24,19,16,23,11,33,19,49,34,45,75,42,54,60,43,76,18,24,18,12,58,22
V. Rongier,83,14000,172.72,154,62,70,41,81,75,78,76,64,79,80,69,55,79,75,90,74,73,71,55,79,51,72,74,77,75
W. Weghorst,80,13000,198.12,185,42,81,84,70,67,64,40,37,48,76,53,69,64,79,44,80,79,84,86,62,73,34,82,78,37
O. Al Soma,78,10500,190.5,190,66,80,77,69,67,71,69,74,64,76,73,71,69,77,67,84,63,82,89,76,67,43,77,71,31
M. Nakamba,83,12000,175.26,174,46,36,55,73,41,71,45,37,73,73,78,75,78,76,78,80,78,90,80,54,86,78,55,71,80
Petros,78,10000,180.34,170,60,61,57,80,46,76,55,46,78,79,72,73,70,78,70,80,61,88,71,65,83,82,66,77,41
Pablo Maffeo,86,13000,172.72,154,79,53,68,78,21,80,71,34,63,81,87,86,82,64,84,57,61,74,65,52,65,69,67,62,76
Y. Mina,85,12500,195.58,207,43,51,86,73,41,60,38,30,52,53,45,62,53,72,34,70,70,79,87,50,80,73,48,80,79
M. Dúbravka,80,8500,190.5,176,12,10,12,48,11,19,15,13,45,33,49,44,44,73,60,22,73,40,60,17,26,25,10,59,19
Diego Carlos,80,10500,185.42,190,35,26,75,71,34,64,47,71,59,69,70,68,64,74,57,73,80,64,84,57,82,75,52,72,78
D. Djené,79,10000,175.26,157,60,29,77,72,22,44,51,48,54,68,76,75,76,79,72,67,79,77,70,27,81,80,49,64,72
G. Simeone,85,15000,180.34,179,40,80,80,68,72,76,69,60,55,76,79,78,76,76,74,79,84,74,72,66,70,24,80,76,51
M. Meza,79,12500,180.34,168,72,73,67,76,66,86,82,76,68,79,80,82,87,73,75,76,67,81,70,74,73,31,71,73,68
Bastos,79,10000,180.34,170,36,30,74,70,31,55,35,28,65,62,73,77,62,72,76,49,71,65,82,41,75,79,31,67,80
S. Lobotka,84,14000,170.18,141,63,59,41,84,43,77,68,55,76,82,70,63,78,74,84,62,82,86,52,65,57,72,65,74,65
Y. Tielemans,87,16000,175.26,159,76,73,57,78,78,76,84,74,78,81,52,53,67,75,76,88,65,73,69,86,70,71,74,81,66
K. Tete,83,11500,180.34,157,74,42,74,73,36,68,52,34,63,70,74,79,66,74,73,60,77,77,76,41,80,75,60,73,77
Capa,81,10500,175.26,163,77,56,61,71,52,74,55,58,56,76,82,86,75,73,86,81,77,92,80,62,86,71,76,69,68
M. Sportiello,81,9000,193.04,192,13,18,18,32,12,19,14,21,19,22,48,38,55,74,58,19,68,37,66,17,23,29,18,59,26
Jemerson,81,11000,182.88,170,30,28,78,68,46,54,26,26,60,63,70,65,64,81,58,45,83,67,78,35,75,79,26,75,80
N. Maksimović,81,11000,193.04,192,45,22,79,59,28,49,29,23,59,61,62,68,49,71,58,39,67,67,86,29,78,80,29,70,79
D. Zapata,79,12000,187.96,194,44,81,78,64,76,72,48,62,38,76,68,75,64,74,58,86,79,66,91,64,60,20,78,76,52
J. Correa,83,14000,187.96,170,74,74,43,78,75,85,79,63,69,83,76,79,82,70,61,76,32,75,74,71,48,36,74,73,39
E. Rigoni,81,13000,177.8,163,75,73,65,73,71,82,81,78,71,77,90,90,83,69,68,71,57,80,58,76,44,33,75,71,51
C. Izquierdoz,78,8000,185.42,196,44,45,82,66,50,36,32,26,57,62,52,50,36,76,52,55,85,84,80,54,74,80,35,58,78
W. Barrios,85,12500,177.8,157,59,30,59,78,22,66,31,31,65,69,76,71,75,77,73,53,78,93,77,39,84,80,60,76,85
J. Mojica,81,10500,185.42,161,79,62,55,78,43,78,74,68,70,79,89,90,74,70,61,80,73,70,70,61,75,72,69,69,67
A. Iwobi,84,14000,185.42,165,67,64,42,81,48,84,50,40,63,84,80,77,76,75,75,67,47,74,70,54,46,24,75,72,30
D. Laxalt,80,12500,177.8,150,78,60,43,78,49,77,61,60,74,78,86,90,85,72,77,74,65,93,60,66,72,64,68,76,64
N. Bentaleb,83,13500,187.96,172,65,62,51,80,67,82,69,62,76,81,66,64,75,76,71,83,53,75,72,79,74,77,68,79,65
N. Stark,84,12000,190.5,179,54,50,83,76,48,65,43,35,67,70,74,79,63,73,62,63,64,70,79,55,74,79,52,69,78
M. Lemina,83,13500,182.88,187,72,55,68,82,68,81,72,68,77,82,76,77,71,73,74,83,46,75,73,78,70,72,68,70,70
L. Dendoncker,84,12000,187.96,194,75,66,78,78,71,68,72,71,78,73,61,68,57,73,53,86,66,89,87,76,73,78,71,74,76
Ricardo Esgaio,80,12500,172.72,150,82,65,56,78,59,79,79,51,67,80,75,74,82,76,83,63,73,87,59,64,68,69,75,82,66
P. Sisto,84,14000,172.72,152,78,76,51,70,65,86,74,75,65,80,81,81,82,73,84,82,82,80,64,72,52,51,73,74,35
P. Max,81,11000,177.8,170,91,40,59,77,43,73,80,74,72,78,78,85,77,79,74,75,66,85,66,46,72,69,62,71,69
R. Gagliardini,82,11500,190.5,170,64,54,73,78,68,75,68,38,75,77,68,68,64,72,62,76,64,85,71,73,74,80,68,74,77
Pere Pons,83,13500,177.8,154,60,65,58,82,43,75,52,62,80,79,68,67,71,75,70,62,66,81,68,64,75,77,64,69,60
D. Berardi,83,14000,182.88,159,74,74,62,75,78,80,70,73,75,85,79,79,87,73,73,83,66,70,65,79,85,26,77,74,45
M. Halstenberg,79,10000,187.96,181,79,57,78,76,55,69,77,74,62,74,66,69,65,76,59,79,83,79,78,67,73,74,61,70,80
Omar Mascarell,80,10500,180.34,168,50,53,56,82,54,75,61,68,83,80,65,64,76,73,68,74,73,79,75,69,70,75,62,74,77
H. Sakai,78,8000,182.88,154,74,33,71,71,41,64,67,55,64,69,78,78,71,76,69,72,75,90,74,58,79,74,74,68,77
Andreas Pereira,84,14000,177.8,157,78,74,56,80,72,81,80,80,77,81,78,74,78,74,78,73,62,75,68,77,69,68,71,74,67
A. Januzaj,84,14000,185.42,168,77,71,23,79,67,81,74,65,74,80,79,76,83,76,71,72,61,68,59,70,41,36,76,70,30
B. Cristante,86,15000,185.42,176,68,68,70,83,67,78,65,64,78,81,63,58,64,74,54,74,58,69,70,74,64,66,76,70,70
B. Traoré,83,14000,180.34,161,65,75,64,77,75,85,80,74,69,87,85,90,88,75,71,76,78,75,64,66,60,45,79,73,38
Y. Poulsen,80,13000,193.04,172,69,72,84,74,68,75,71,43,48,71,79,79,75,79,55,73,83,87,78,58,84,48,80,68,55
L. Trossard,84,14000,172.72,148,75,80,64,76,76,83,81,69,68,78,92,76,93,70,87,77,89,73,60,81,47,18,75,84,40
M. Arnold,83,13500,182.88,163,70,77,54,79,85,78,77,75,78,79,66,64,71,78,67,87,52,77,67,87,66,75,75,76,75
M. De Sciglio,81,10500,182.88,172,78,33,68,74,41,74,75,39,68,75,75,79,79,72,77,67,77,87,68,51,74,76,64,72,79
Leo Baptistao,79,12500,180.34,159,71,75,75,77,77,80,70,59,63,80,75,78,77,82,68,74,70,74,71,74,38,28,83,75,36
V. Chiricheş,78,8500,182.88,165,46,56,73,68,70,59,46,25,70,66,66,67,57,74,72,82,73,66,72,72,76,79,36,69,83
L. Pavoletti,78,10500,187.96,187,33,81,93,64,80,66,49,28,36,74,66,63,65,76,59,80,86,66,84,56,60,24,80,73,49
A. Cragno,84,10500,182.88,172,15,12,12,26,13,13,11,12,25,21,41,37,37,62,43,19,74,43,55,17,33,19,15,59,20
L. Castro,78,10000,182.88,172,78,58,58,80,67,80,76,68,76,82,78,75,78,76,78,77,66,75,68,74,65,73,75,77,52
N. Füllkrug,79,12500,187.96,183,63,81,80,67,71,70,69,69,48,74,65,65,66,77,52,79,69,73,83,72,67,24,82,72,47
F. Fajr,78,10000,177.8,157,77,72,49,80,62,76,81,77,81,79,67,61,74,74,71,74,37,66,67,78,70,76,69,63,70
E. Sala,78,11000,187.96,183,59,80,81,71,77,75,72,41,63,75,56,61,59,80,55,79,77,92,84,75,75,62,82,81,62
S. García,78,11000,180.34,176,55,82,75,61,71,71,68,75,54,76,67,66,68,71,68,82,75,75,88,73,86,25,84,77,20
S. Arias,81,10500,177.8,159,74,51,67,74,43,74,31,54,73,76,84,86,78,76,77,56,82,90,69,50,79,75,70,76,74
B. Reynet,80,8500,185.42,187,15,17,14,33,19,11,10,14,32,21,41,45,43,75,24,18,62,34,68,15,36,16,12,62,10
Pozuelo,79,12000,172.72,159,65,66,39,82,62,81,75,74,73,83,62,57,76,76,82,66,60,75,50,71,52,62,74,81,46
A. Trebel,79,11500,175.26,163,75,59,33,77,71,77,73,75,79,77,79,75,77,78,87,80,77,82,69,76,80,74,72,75,67
J. Lascelles,83,12000,187.96,196,46,23,79,65,33,50,29,16,57,65,60,63,67,75,51,40,85,70,84,27,83,76,23,71,80
T. Kongolo,83,12000,187.96,154,67,27,74,72,40,67,63,44,65,72,72,74,71,70,62,67,91,71,79,52,75,76,49,73,77
Álvaro,79,9500,182.88,165,51,22,73,69,31,48,47,45,57,67,72,73,68,76,72,48,92,78,74,26,89,79,45,67,76
G. Defrel,78,11000,177.8,170,70,79,68,67,75,83,67,69,60,82,88,87,82,75,72,79,42,59,58,78,53,37,81,75,50
V. Darida,78,10500,170.18,141,76,68,41,81,65,78,78,69,75,81,70,65,82,74,88,76,77,94,48,76,56,69,72,79,72
R. Saponara,80,12500,182.88,161,74,64,58,80,64,83,80,70,74,85,69,75,72,68,71,72,64,68,69,66,52,30,78,76,61
Pedro Mendes,80,10000,185.42,172,25,25,73,66,22,62,48,52,64,63,66,63,55,71,53,67,74,75,79,34,81,80,25,70,80
C. Schindler,80,10000,187.96,170,49,25,74,68,30,42,45,33,64,68,60,65,56,77,57,52,74,68,78,24,76,81,27,73,81
N. Chadli,78,10500,187.96,187,74,73,67,77,73,82,77,78,68,80,74,78,65,75,54,81,71,75,83,75,59,43,77,79,41
Arbilla,78,7000,177.8,168,75,40,73,77,48,63,75,82,65,76,55,70,60,75,68,81,81,74,78,68,84,77,57,65,72
L. Dunk,81,11000,193.04,194,32,37,76,71,24,60,23,39,74,68,38,50,47,79,42,72,72,64,82,21,80,78,30,72,80
P. Hernández,78,9000,185.42,179,54,66,53,79,69,80,75,69,78,79,69,67,70,80,44,75,69,68,80,73,85,75,76,68,55
J. Guidetti,81,13000,185.42,174,67,76,75,75,79,76,68,80,53,77,65,65,64,78,60,84,70,64,82,80,75,34,79,78,55
Sergi Gómez,83,11500,185.42,170,45,35,74,80,37,56,49,46,77,75,46,44,52,76,50,45,69,68,78,47,70,81,52,68,80
Oriol Romeu,80,10500,182.88,183,37,25,67,80,35,59,49,53,71,72,53,48,54,72,59,60,65,75,82,43,88,80,48,72,77
Lucas Pérez,78,10500,180.34,161,74,78,68,75,78,79,82,77,70,80,76,78,70,80,73,82,63,70,69,79,67,38,79,75,25
F. Lejeune,80,10000,187.96,196,51,50,75,75,42,62,47,41,70,73,42,52,55,72,57,75,76,73,83,66,81,81,46,77,80
O. Özyakup,81,13000,180.34,165,77,62,50,83,72,78,83,77,78,80,71,72,88,73,79,80,72,76,62,76,75,66,74,82,60
C. Tévez,78,5000,170.18,176,72,77,54,78,74,79,74,68,65,77,73,70,76,74,74,83,56,73,74,70,77,34,78,80,35
K. Papadopoulos,80,10500,185.42,192,44,24,88,54,44,40,40,43,50,52,60,59,53,69,60,68,91,61,90,58,92,64,35,60,77
M. Gradel,78,10000,177.8,154,71,78,66,74,69,82,67,73,66,81,85,84,83,75,70,74,66,71,59,78,59,51,76,78,31
M. Debuchy,78,5500,175.26,168,77,62,74,75,62,74,74,61,73,75,74,73,74,78,73,74,81,74,72,68,79,76,63,75,78
V. Moses,78,11000,177.8,170,76,69,70,76,64,82,75,61,70,81,79,77,76,76,82,74,66,85,69,69,62,73,76,75,74
Z. Junuzović,78,9500,172.72,152,83,68,58,77,82,80,88,82,78,80,76,69,86,76,91,78,68,92,65,78,76,75,70,78,68
Granero,78,9500,180.34,172,78,73,59,81,58,77,80,76,80,80,55,50,68,77,67,77,53,55,68,77,72,74,71,71,58
J. Baumgartlinger,78,7500,182.88,190,63,39,69,81,50,65,47,49,71,74,68,71,65,74,64,73,80,88,78,39,84,77,62,75,79
B. Costil,78,6500,187.96,194,11,14,15,35,12,13,12,11,33,12,49,53,38,75,45,22,49,28,65,15,22,22,12,58,16
Hilton,78,0,180.34,172,60,45,79,73,51,63,42,48,72,73,33,38,51,70,60,55,79,54,76,58,76,79,50,70,83
N. Gudelj,80,10500,187.96,161,74,58,75,78,69,64,80,79,76,75,59,65,62,74,57,85,67,91,88,82,83,74,67,71,72
L. Pratto,78,10000,187.96,201,68,76,76,72,73,72,57,56,70,76,66,72,67,76,64,84,70,74,91,74,78,47,80,71,48
E. Hernández,78,10000,170.18,143,80,75,49,79,72,80,75,67,75,83,74,77,80,70,81,73,70,77,58,74,39,42,70,80,50
Jurado,78,8000,175.26,159,79,77,47,80,69,80,80,78,78,79,71,67,80,79,70,76,65,60,57,75,46,40,78,68,30
R. Cabella,78,10500,170.18,157,73,70,58,79,70,82,75,78,74,80,83,77,91,72,80,73,41,73,50,73,47,56,69,72,31
Rafael Tolói,80,10000,185.42,165,44,28,76,66,30,58,41,70,68,66,66,68,63,78,66,75,76,53,69,62,78,82,40,74,77
C. Bravo,78,2400,182.88,176,12,13,18,56,11,22,25,38,54,41,58,54,63,73,62,22,81,41,69,17,40,23,16,64,15
Hernanes,78,6000,180.34,170,79,57,60,82,76,74,84,85,78,79,64,59,72,70,75,85,61,71,72,77,54,70,56,78,72
J. Holebas,78,2900,185.42,179,83,57,74,76,50,73,69,71,69,77,74,76,71,74,73,82,73,79,73,72,89,71,62,72,75
Javi García,78,7000,185.42,181,47,59,86,82,59,66,55,44,77,77,62,62,62,73,53,82,91,76,79,54,86,78,62,80,70
Sergio,78,6500,177.8,165,21,11,9,37,11,13,20,11,39,21,44,43,50,75,48,24,64,33,62,11,34,15,12,58,20
M. Cáceres,78,7000,180.34,172,69,37,76,67,65,60,68,41,65,66,76,78,79,73,74,70,91,69,72,59,78,80,50,76,80
Daniel Carriço,78,8000,180.34,176,61,48,76,74,47,58,39,54,75,64,47,54,60,71,68,66,92,59,77,50,85,76,57,79,79
J. Cork,78,10000,182.88,165,68,58,75,80,60,75,75,58,79,79,57,54,63,78,71,74,75,92,77,59,80,79,68,80,80
J. Tomkins,79,9000,193.04,163,45,29,78,70,28,50,33,31,60,59,41,49,47,76,50,40,76,65,79,29,80,78,38,74,81
Gervinho,78,9000,177.8,146,75,72,63,73,70,80,69,43,67,78,91,90,88,76,76,69,62,78,55,64,51,39,78,68,35
J. Shelvey,80,12500,182.88,176,73,67,67,84,59,74,69,73,85,76,63,63,62,72,65,85,64,76,71,81,84,63,70,78,60
R. Vormer,78,9500,177.8,174,79,71,70,81,74,67,75,79,77,72,67,60,64,78,67,79,68,92,75,74,79,76,79,76,76
J. Lens,78,10000,177.8,165,79,74,63,74,85,80,71,68,63,78,90,90,75,77,79,80,74,74,77,75,53,23,71,76,35
Adriano,78,4000,172.72,165,81,59,63,79,53,81,84,69,77,82,77,73,77,79,76,87,75,74,67,87,75,78,77,81,78
S. Cook,78,8500,185.42,181,41,31,80,70,33,54,31,30,61,67,55,53,55,77,65,48,75,68,78,23,79,78,21,70,77
C. Ansaldi,78,7000,180.34,168,78,57,63,77,51,80,77,45,76,79,75,76,79,79,66,60,70,78,67,66,78,75,65,81,71
Manu García,78,6000,182.88,163,65,60,70,77,42,62,52,54,74,75,46,61,66,77,67,74,79,81,78,56,90,79,61,74,75
J. Ward-Prowse,82,12000,172.72,146,89,61,57,84,51,73,88,83,82,82,66,57,75,74,77,74,66,78,57,70,67,65,65,79,62
M. Harnik,77,8000,185.42,176,68,76,77,72,76,74,73,52,69,71,75,76,69,76,64,78,90,79,77,69,72,39,78,75,54
B. Moukandjo,77,9000,180.34,163,75,79,66,69,70,77,71,71,60,75,91,93,83,76,70,75,71,80,65,64,51,32,77,77,34
G. Castro,77,7500,172.72,159,77,66,47,80,66,77,79,73,77,78,70,65,80,77,78,75,73,71,65,73,64,76,73,81,74
Aarón Martín,85,11000,180.34,159,76,33,73,76,21,71,62,54,61,75,76,69,68,77,67,55,61,77,60,28,60,78,60,70,78
F. Johnson,77,8500,182.88,163,76,70,60,76,66,79,72,57,69,76,78,79,73,75,72,69,69,76,60,58,71,65,74,70,62
M. Dossevi,77,8500,172.72,143,82,62,54,78,62,78,69,71,70,77,80,80,76,72,76,71,76,71,58,71,45,32,75,68,41
Caiuby,77,8500,182.88,187,72,73,80,73,59,74,68,49,64,74,77,87,73,76,66,85,91,86,81,72,73,49,76,64,37
Iván Ramis,77,3600,187.96,181,45,54,76,71,59,51,67,77,72,70,34,35,52,69,50,76,76,67,90,65,84,77,52,66,75
M. Suchý,77,6500,182.88,185,43,48,77,72,43,60,32,39,70,65,63,67,65,72,65,64,79,80,84,52,72,74,32,77,74
E. Çolak,77,9500,170.18,148,77,71,65,78,70,77,75,79,77,80,71,68,82,74,90,71,37,69,40,73,52,45,72,71,35
V. Germain,77,9000,180.34,161,74,78,78,73,76,73,77,74,64,75,75,77,91,78,71,77,80,80,61,76,65,44,80,77,45
G. Hoarau,77,4700,193.04,187,66,83,84,75,75,68,66,54,62,72,45,51,68,78,59,77,70,67,89,69,63,34,82,77,32
Sergio García,77,4100,175.26,159,77,76,70,76,72,82,80,64,72,78,68,69,66,78,73,77,54,54,72,74,61,29,81,80,40
E. Choupo-Moting,77,9000,190.5,201,65,75,74,74,75,83,74,44,70,80,76,78,76,74,66,77,67,76,76,64,55,40,77,75,31
J. Pinola,77,2100,180.34,174,65,38,74,76,46,63,65,55,68,65,68,70,65,75,67,71,81,67,81,59,82,74,59,60,79
J. Izquierdo,78,10500,170.18,165,70,71,60,69,54,81,75,34,63,78,92,90,91,71,84,80,67,74,59,77,27,37,75,72,48
C. Grenier,78,10000,185.42,159,79,72,73,79,74,75,79,82,80,81,55,58,62,71,74,83,54,66,73,80,63,62,78,78,60
T. Strobl,77,7000,187.96,170,51,30,69,74,35,59,44,45,79,58,51,55,48,77,44,79,70,73,78,62,83,80,55,73,81
V. Odjidja-Ofoe,77,8500,182.88,174,70,69,68,82,78,76,64,70,78,78,59,62,52,68,51,82,74,75,83,76,75,65,69,75,60
N. Guzmán,77,5000,193.04,207,20,10,15,40,12,21,18,22,46,25,51,52,70,75,57,25,66,38,79,17,33,29,19,65,26
F. Fabra,78,8000,172.72,159,74,50,67,73,33,78,60,34,57,76,86,88,85,71,75,67,86,89,81,54,72,72,71,70,66
J. Maddison,85,13000,175.26,161,74,69,30,78,69,77,78,79,72,82,77,74,85,68,78,83,54,67,40,73,56,45,69,76,37
K. El Ahmadi,77,3600,180.34,157,60,54,60,79,62,73,68,50,79,76,65,63,74,79,70,74,67,81,73,66,83,75,64,83,68
M. Carcela-González,77,8500,175.26,148,70,72,35,72,70,84,80,71,69,81,90,80,89,75,80,77,87,69,54,74,47,39,74,84,26
M. Gabbiadini,78,10500,180.34,159,70,79,66,72,72,77,78,77,64,79,67,70,70,74,56,82,74,63,71,77,57,18,79,71,21
Gomes,77,600,190.5,209,15,15,14,23,13,15,12,13,19,25,50,52,56,71,53,30,76,27,64,14,40,20,12,59,19
M. Ritchie,77,9000,172.72,168,80,72,38,75,75,77,74,66,72,76,75,73,71,75,84,76,70,76,59,77,73,49,76,72,56
G. Bou,77,9000,177.8,176,69,77,74,71,74,77,66,71,61,77,78,78,74,74,76,80,77,80,75,73,52,39,78,78,19
Javi Fuego,77,2700,182.88,163,59,54,60,77,53,62,64,62,71,70,53,42,64,77,61,72,70,69,77,64,82,82,58,86,80
E. Akbaba,80,11000,180.34,161,71,70,62,76,68,76,76,74,77,77,73,77,76,69,69,77,58,83,61,75,64,51,77,74,57
J. Amavi,82,10000,175.26,154,79,60,64,74,59,73,74,49,66,76,78,80,75,76,76,76,82,78,70,68,72,73,69,67,72
R. Malinovskyi,81,11500,180.34,187,79,69,69,81,70,75,84,87,77,78,69,73,71,74,65,88,68,78,69,84,72,62,69,75,54
D. Welbeck,77,9500,185.42,161,69,75,78,75,76,78,61,62,64,78,76,83,76,78,62,78,80,74,75,69,75,32,79,76,47
